@relation train
@attribute a0 real[2.281523748,8.43875939]
@attribute a1 real[2.067594976,8.312150114]
@attribute a2 real[2.098935092,8.207123495]
@attribute a3 real[1.7302687,7.897368767]
@attribute a4 real[1.922031196,8.301830863]
@attribute a5 real[1.89074753,8.270947776]
@attribute a6 real[1.814378694,8.220238395]
@attribute a7 real[2.033798859,8.139128858]
@attribute a8 real[1.944518782,8.23446125]
@attribute a9 real[1.742771298,8.326781271]
@attribute a10{35-49_male,50-64_male,25-34_female,18-24_male,50-64_female,35-49_female,25-34_male,18-24_female,65-xx_female,65-xx_male}
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9
@outputs a10
@data
5.144267794,5.045360753,4.883568261,4.347864868,4.996291678,5.002623616,4.962110776,4.966563718,5.262843393,5.442443847,25-34_female
6.159251201,6.163790561,6.250089413,5.480357904,6.476837584,6.259604793,6.253603239,5.94626363,6.11958639,5.980039973,18-24_male
4.739694989,4.864236488,4.830473762,4.46493956,5.235830881,5.130509579,4.99757309,4.575203257,4.566184409,4.223559766,18-24_female
4.267085338,4.180803107,4.181777874,3.634972122,4.278483885,4.338958795,4.192206852,4.123029473,4.186516354,4.089111227,18-24_male
6.107244383,6.123659657,5.982809652,5.493934962,5.97472431,6.020240773,6.016623757,6.028043599,6.320178945,6.646927181,25-34_male
3.890434512,3.806603781,3.581698626,3.540796144,3.795752802,3.617418446,3.659779236,3.79790721,3.831622118,3.939998335,25-34_female
4.931975463,4.808710187,4.834642995,4.643547983,5.243522622,5.099759431,4.853604552,4.58396942,4.23758571,3.952000793,50-64_female
3.896937208,3.868135257,3.91872926,3.549671525,3.912344714,3.84453835,3.809899507,3.88902675,4.042117887,4.104933152,25-34_male
4.643688416,4.758634135,4.609909659,4.207488904,4.724122725,4.822395228,4.706313136,4.44846597,4.724249514,4.884815492,35-49_male
4.061932767,3.97802273,3.94149468,3.495182686,3.954413674,4.009147772,3.962529515,4.022265567,4.369197146,4.605270841,25-34_female
4.357701614,4.399963339,4.422365981,4.192826312,4.940357176,4.655356954,4.626453821,4.247095514,4.229761,3.801098205,25-34_female
4.625502193,4.59168782,4.551401325,4.267007122,4.675744946,4.549736895,4.529348018,4.261384057,4.819709119,4.817054859,25-34_male
4.642399893,4.604643739,4.63080408,4.026759143,4.578642761,4.612735492,4.523214049,4.56213333,4.681307703,4.892491639,25-34_male
3.284572483,3.07861555,2.980617796,2.569482014,3.076761606,2.928859823,2.919762457,2.941647721,2.640631121,2.599544798,25-34_male
4.372240535,4.119357641,4.091897397,3.806707002,4.431985784,4.242553805,4.169658836,4.068112245,3.893428788,3.799134718,35-49_male
7.27890778,7.255163918,7.17980563,6.995669903,7.278663339,7.262006262,7.229317548,7.176973412,7.379004515,7.427073023,50-64_female
5.272600345,5.448590539,5.242524143,4.88944888,5.530847771,5.354299221,5.201093268,5.168889,5.024837293,5.095002324,35-49_female
4.549464419,4.432336403,4.487900174,4.363385083,4.42365519,4.264883243,4.319624242,4.437513902,4.529566592,4.680143463,18-24_male
3.060816294,2.852073899,2.84408383,2.622659928,2.7310002,2.494074168,2.624404377,2.873815366,2.480333677,2.614351981,18-24_female
4.354994687,4.235403741,4.043270739,3.722638018,4.34414917,4.07189495,4.071015075,4.117608063,4.004768804,3.973197208,35-49_female
5.59834934,5.738000359,5.56211334,5.035753097,5.603986292,5.57444499,5.531005754,5.370175295,5.468164654,5.434916416,35-49_female
4.906095188,4.724011245,4.503108158,4.355085161,4.699738892,4.782939879,4.66513862,4.425676368,4.887893688,5.101552171,50-64_female
2.552350817,2.509068372,2.534766495,2.205650361,2.243249212,2.200070798,2.236807537,2.64003554,2.395096603,2.559390807,50-64_male
3.170120052,3.081020807,3.143651973,2.843949134,3.042672876,3.063973526,3.046344474,3.087772455,3.156031663,3.409582238,50-64_female
4.950845021,4.8930935,4.934938007,4.588418991,5.226653406,5.113686031,4.971147595,4.674593005,4.621374704,4.361662638,50-64_female
3.979180633,3.780716488,3.869911562,3.930152372,3.993587819,3.773268645,3.797698586,3.793420909,4.051192989,3.883498533,25-34_female
4.028428155,4.005713032,3.755090136,3.648032071,3.993910679,4.120255155,3.889989728,3.706356013,3.69811239,3.94870429,35-49_male
4.822408604,4.975849685,4.787647753,4.318486726,4.979328399,5.094276229,4.82196079,4.661709318,4.84390393,4.772133918,35-49_female
4.324586962,4.335345108,4.238065669,3.756598378,4.693894224,4.502140489,4.372965723,4.299803637,4.274986107,3.909647197,35-49_male
5.000848098,4.966348623,4.828280688,4.238192798,4.883368389,4.839304378,4.836504054,4.630098739,4.597975445,4.518827044,50-64_female
3.998024125,3.747334047,3.547867776,3.285397042,3.583420367,3.497649945,3.485518215,3.756699632,3.397823392,3.586105341,25-34_female
5.427628251,5.31780299,5.198341802,5.148772748,5.335462646,5.382697032,5.274516394,5.220609778,5.443802921,5.467196682,25-34_male
4.681820393,4.668583209,4.763552387,4.543496763,5.28225804,5.029883776,4.918253528,4.622392961,4.799232586,4.144985623,35-49_male
4.534618701,4.71164609,4.617964511,4.073935911,4.852211282,4.683165374,4.714417669,4.453455649,4.628535174,4.523036417,50-64_female
6.652574217,6.543784588,6.366576959,6.152406126,6.476596869,6.462608132,6.482389575,6.359151415,6.620856143,6.549013923,35-49_female
3.025073257,2.968190109,3.081842643,2.853930615,3.017625589,3.091595799,2.950932354,2.935811847,2.898599211,2.988548529,50-64_female
3.69285889,3.899201273,3.964261602,3.309559178,3.705592009,3.773083343,3.69621143,3.619922577,3.465548337,3.160863336,50-64_male
5.340744081,5.432637305,5.418819102,4.659140312,5.610562779,5.566194341,5.446560289,5.30431702,5.338863266,5.369982125,35-49_male
4.997261568,4.885997295,4.778823585,4.293427252,5.034955991,4.964142851,4.827114978,4.584224663,4.702643669,4.568623734,50-64_female
6.664926131,6.648913762,6.558797991,6.458771137,6.718742003,6.654816369,6.635700607,6.61240714,6.906972761,6.940294549,50-64_female
2.748346911,2.512288471,2.528683061,2.242154314,2.261520385,2.32683871,2.254718162,2.558227393,2.189265402,2.36229309,50-64_male
4.713268525,4.556928376,4.156888063,4.051729006,4.41066304,4.596076068,4.388668065,4.358538847,4.504760051,5.006809257,25-34_female
3.97073134,3.780329707,3.705335793,3.345278266,4.008600571,3.755717781,3.756931955,3.790499979,3.530279193,3.359047564,25-34_female
3.357708883,3.385280642,3.430240614,3.233841534,3.282343798,3.356700077,3.400019116,3.249269531,3.391537306,3.528452602,35-49_female
3.465043606,3.650695065,3.569616337,2.969189929,3.588263268,3.551848072,3.499410207,3.483429746,3.585695564,3.507716756,35-49_male
5.421687281,5.333418822,5.314217102,4.996657644,5.454656786,5.299191922,5.309898369,5.353713865,5.556924076,5.656343162,18-24_female
4.383838287,4.228336556,4.234767904,3.69317494,4.1808083,3.923077698,4.096522243,4.299874939,4.214568957,4.237072821,25-34_male
3.850973408,3.688035362,3.653165937,3.488363959,3.589702098,3.696246829,3.633420689,3.493857128,3.664633875,3.713307976,25-34_male
6.095982604,6.178683585,6.137446792,5.771529582,6.393526113,6.297159496,6.170537165,6.155640575,6.225039562,6.122754909,25-34_male
5.214179165,5.269660829,5.238184223,4.875695707,5.653808514,5.565939307,5.407973648,4.884458175,4.845357675,4.554432603,25-34_male
3.859828604,3.757585693,3.67517693,3.497475955,3.993288012,3.905999537,3.803470999,3.479435663,3.467609659,3.376167043,35-49_female
4.621869184,4.59999914,4.488328492,3.96571487,4.932037108,4.722270613,4.607795126,4.462905523,4.267173711,4.42137059,50-64_male
5.142245574,5.164832829,5.102992455,5.010471721,5.552409387,5.431361171,5.229753065,4.880578975,4.802273802,4.328098834,35-49_female
3.068653537,2.95782028,2.995557942,2.661576322,3.220299144,2.896756649,2.876405494,2.900921052,2.744416636,2.451906586,35-49_male
3.472945911,3.385291473,3.33538141,2.839125676,3.307754877,3.196900394,3.12038646,3.297943198,3.157134921,3.035615767,25-34_male
3.452430227,3.264585024,3.163376812,3.206887648,3.163989269,2.942157646,2.990405108,3.27364742,3.034238308,3.026696358,18-24_male
4.315872899,4.17146609,4.187996002,3.922190538,4.421564679,4.286494473,4.188871341,4.031628862,3.970206962,3.687908399,35-49_male
4.882309964,4.706717688,4.804268956,4.359990266,4.970154806,4.920046873,4.86617015,4.788697454,4.9244548,4.861324909,35-49_female
5.68916559,5.715565378,5.465869834,5.413835091,5.703416936,5.833754499,5.512379648,5.545568235,5.624524257,5.889766772,50-64_female
5.240251715,5.172419109,5.075664813,4.765158475,4.966491424,4.909255489,5.005085812,5.092442958,5.496637222,5.767400977,25-34_male
3.82562951,3.941740092,4.108108311,3.569001589,3.788540673,3.983406441,3.767966183,3.790438169,3.552730301,3.667342721,35-49_male
4.524807161,4.18439666,4.096368447,4.114130107,4.311184799,4.065675747,4.160812413,4.339027563,4.508224479,4.739705794,25-34_male
3.905237788,3.739027739,3.752924372,3.551113018,3.72539905,3.54889585,3.603636394,3.901304768,3.926970238,4.020017644,25-34_female
5.776977556,5.689620849,5.56599546,5.044364129,5.656101927,5.777109156,5.638465131,5.505127583,5.756830794,5.793791534,50-64_female
6.684727255,6.655153122,6.571941376,6.318854509,6.650877291,6.642507103,6.614738635,6.607107046,6.871751325,6.839401431,35-49_female
3.566724236,3.543330784,3.563366162,3.004436845,3.560295514,3.500368397,3.512740262,3.489280938,3.80909686,3.845488752,25-34_male
4.36098755,4.330613649,4.273555824,4.076892961,4.338206716,4.309410781,4.311887549,4.300821351,4.642161009,4.742306654,18-24_female
4.464013733,4.343359665,4.172175866,3.787474345,4.3682953,4.238410486,4.174898747,4.235069195,4.274876234,4.333776509,25-34_female
5.438751354,5.151097743,5.113707312,4.771980529,5.223363776,5.063657176,5.038575976,5.087909406,5.058679929,4.986137089,35-49_male
5.092974233,5.286281903,5.168496117,4.438348415,5.392974339,5.369765398,5.182090126,5.065326945,4.964926052,4.857061805,50-64_female
4.753581596,4.617722443,4.419293061,4.233610014,4.549290555,4.633621475,4.633878661,4.397708849,4.742030343,5.059814303,18-24_female
4.62123183,4.634524699,4.56260233,4.053406957,4.869845684,4.566654501,4.583404591,4.630410202,4.6468755,4.549093557,50-64_female
4.937587453,4.953493982,4.915128562,4.426318877,4.878106748,4.879635219,4.888449332,4.767388808,4.720994379,4.930276454,18-24_female
4.89018034,4.745176296,4.810498405,4.282884985,4.992382178,4.968448639,4.89194798,4.71176423,4.768178588,4.365146504,35-49_female
5.076191684,5.127165844,5.155920759,4.753587574,5.529779373,5.355203858,5.22699121,5.038141013,4.844941815,4.154088789,18-24_male
5.781723393,5.781643932,5.60509098,5.00388463,5.614785097,5.611476954,5.554441235,5.487345038,5.596313551,5.610089906,35-49_male
3.304836934,3.181986671,3.150718072,2.754256483,3.321079772,3.24471223,3.125815229,3.048552139,3.06043116,3.069803354,35-49_female
3.978081433,4.167827091,4.10948394,3.448799671,4.162816217,4.145686047,3.967572754,3.917452894,4.027894859,4.000064055,25-34_male
6.438748749,6.43759575,6.246078694,5.911888836,6.409094372,6.305591967,6.259605347,6.18983865,6.410219534,6.014599465,35-49_male
4.303760141,4.311727915,4.253419419,3.981497692,4.391050665,4.288531453,4.308031258,4.220420457,4.533157082,4.731100265,25-34_male
4.461942857,4.477037762,4.450241768,4.053113542,4.701077788,4.619517876,4.441312184,4.434353224,4.262920157,4.270210082,25-34_male
4.482133363,4.339142803,4.431671636,4.091956176,4.530263943,4.378969021,4.383437719,4.263699461,4.619711596,4.680949282,18-24_male
3.790623633,3.716255477,3.720654405,3.156786462,3.868667991,3.763162327,3.57683839,3.668621096,3.492360722,3.295401363,35-49_male
5.038165623,4.866910927,4.763970458,4.225825543,4.90229323,5.091838453,4.77338824,4.431599701,4.476411789,4.503036465,50-64_male
6.551517312,6.590781069,6.677529189,5.950035797,6.570674802,6.608405369,6.498448751,6.55933055,6.800017459,6.275841812,35-49_female
3.614312935,3.63882805,3.686420655,3.385193225,3.725895796,3.449557534,3.406654456,3.330541822,3.363075784,3.140437468,25-34_female
4.312442348,4.294941876,4.022509925,3.888463638,4.257966067,4.229298997,4.176605864,4.098459748,4.363235704,4.618936508,35-49_female
6.422826475,6.339555843,6.190739307,5.838735667,6.259974974,6.213405183,6.216699932,6.056255597,6.309646865,6.133442819,35-49_female
5.095999564,5.039378421,4.972903943,4.303482924,5.190008451,5.073379962,4.995527702,5.07785845,4.941945869,5.01585656,50-64_female
6.431858927,6.483487065,6.207616592,5.701233497,6.462029581,6.419201668,6.382061371,6.403980082,6.5742425,6.455599959,35-49_female
5.497423172,5.350578774,5.277295312,4.669437367,5.375358472,5.320587904,5.318743011,5.204205775,5.419820816,5.655247652,25-34_male
4.952150425,4.989598757,4.787120685,4.629962654,4.890773945,4.690711431,4.699840479,4.71640778,4.653883421,4.969936902,35-49_female
4.947319556,4.822355874,4.594464315,4.430407945,4.850747108,4.791361805,4.67070577,4.718575132,4.71568882,4.736834616,35-49_female
3.11093069,3.107634517,3.039146395,2.586479388,3.018457379,2.858362369,2.885821298,3.069578774,2.666089896,2.697689159,50-64_female
3.360419071,3.235605846,3.111887668,2.812150219,3.103668614,3.061213456,2.918536398,3.189896536,2.707023619,2.643700311,35-49_female
5.11867459,5.066221153,5.038232667,4.831024489,5.15266291,5.071154914,5.079497507,5.096364367,5.318596144,5.484172144,25-34_male
5.007496927,4.799501339,4.743328143,4.354935868,5.07956483,4.760920836,4.791750609,4.804292474,4.701202981,4.505997285,25-34_female
2.74116807,2.895533414,3.13210982,2.610726761,2.815109527,2.704486586,2.769849543,2.768324457,2.498964768,2.554275024,50-64_male
5.49774131,5.345804807,5.430437477,4.712500621,5.69293289,5.572074207,5.454106131,5.312096688,5.365195519,5.429967907,50-64_female
4.76957417,4.699703565,4.534180197,4.196783431,4.852394245,4.903620217,4.68943429,4.362081982,4.531726607,4.641334319,25-34_male
5.029042508,5.08870848,4.994473721,4.537668635,5.002545769,5.103423438,4.868508758,4.81809759,4.934009782,4.894124522,25-34_male
3.340148584,3.369450743,3.265933157,2.891963578,3.515895389,3.288255793,3.214560784,3.133482724,3.073992541,3.082842612,18-24_female
5.276893268,5.331364753,5.422220786,5.238005537,5.32762028,5.152723729,5.264116129,5.185571618,5.711871827,5.327819039,35-49_male
4.489062689,4.3076717,4.334517548,3.819481486,4.419653309,4.566127823,4.371600778,4.071140451,4.178815535,4.13864511,25-34_male
6.593269499,6.577208187,6.487232157,6.386914771,6.646899767,6.583074708,6.563977756,6.540680563,6.835016837,6.868341113,50-64_male
4.002241345,3.931204732,3.997337207,3.496315877,4.001553514,3.762114454,3.809000223,3.667064229,3.522178051,3.287925579,25-34_female
5.173852345,4.99801667,4.952747329,4.463595981,5.133084431,5.037016744,4.949493285,4.854687956,4.904464219,4.877809105,50-64_female
3.701444234,3.621556424,3.633103493,3.116219704,3.694782094,3.593285615,3.580615664,3.380155498,3.585030738,3.748637468,35-49_male
6.839749581,6.775059065,6.768337911,6.357435665,6.861512466,6.766259588,6.855764004,6.752746937,7.199325809,7.11152602,18-24_male
3.488387956,3.367382649,3.328822456,2.9068605,3.441562565,3.118999232,3.194469283,3.398083419,2.972030011,2.692268778,50-64_male
3.806116301,3.795848092,3.760601635,3.453476933,3.879776902,3.87642049,3.924122562,3.560138222,3.65161333,3.650744526,25-34_female
3.586122629,3.553764343,3.45105644,2.992268289,3.641114933,3.5739548,3.390609182,3.329883349,3.203982125,3.236530496,50-64_male
6.091966521,5.992932206,5.89395491,5.304556641,6.044663387,6.016345148,5.929636904,5.921180706,6.313056764,6.193407584,18-24_female
6.948562156,6.920689084,6.848670893,6.703663011,6.981066236,6.913418978,6.908922401,6.894245323,7.160910948,7.172209749,50-64_male
5.448015321,5.46731129,5.193063522,5.077493634,5.351551899,5.611533324,5.370942713,5.165104288,5.296843356,5.621412306,25-34_male
5.035306177,4.963351208,4.672611701,4.615494537,4.989417748,5.054917297,4.881945215,4.7094092,4.924750133,4.829677592,25-34_male
5.139092974,5.088927545,5.083759806,4.481272519,5.212438495,4.986464731,5.07785147,4.94521425,5.189549373,5.067402823,25-34_female
5.055891032,4.951686931,4.841923671,4.400382535,4.784581342,4.739347378,4.687476399,4.86950536,4.780764002,4.666627982,50-64_female
4.517385739,4.574192785,4.48479928,4.042147685,4.571619393,4.472867072,4.502697423,4.476512281,4.991850163,4.798287298,25-34_female
4.314891687,4.332837102,4.284726004,3.961363956,4.235798368,4.148943889,4.218071779,4.284612776,4.713117935,4.942606394,50-64_male
5.410725821,5.29768408,5.126638456,4.687002654,5.43083509,5.460755244,5.290463936,5.064958346,5.169295265,5.135136018,18-24_female
4.488451392,4.497504318,4.417960018,4.255833532,4.443364131,4.316950598,4.283793858,4.30056338,4.404557138,4.306913628,35-49_female
4.288485713,4.187941084,4.120213751,4.02897607,4.144590406,4.052364161,4.135490475,4.192435858,4.50847425,4.818741298,18-24_male
5.190709633,5.267213113,5.257038718,4.509512896,5.488111273,5.291473223,5.222364015,5.087708513,5.236787506,5.09808624,50-64_male
3.888744459,3.809263334,3.701925567,3.399576478,3.929358284,3.921401435,3.925474727,3.72712746,3.750739185,3.938903632,18-24_male
3.444684103,3.569218688,3.554934776,2.902661514,3.665405366,3.359898416,3.40506531,3.335351203,3.378743876,3.052507637,18-24_male
3.966141428,3.937151158,3.857853209,3.702475453,3.953714821,3.839246702,3.839441848,3.97178009,4.362206073,4.434149975,18-24_female
4.300224486,4.083784305,3.859260129,3.634122559,4.35523894,4.247918465,4.063878353,3.804057387,4.257082363,4.108279923,50-64_female
4.285487845,4.29506306,4.422696183,3.948046186,4.498638558,4.284816501,4.326950441,4.178424154,4.150749945,3.975844276,50-64_female
5.241000829,5.248263509,5.133765311,4.863221281,5.508230249,5.497730698,5.241137277,4.888354206,4.817438779,4.55622377,35-49_male
4.013508429,3.844130219,3.738956384,3.511136276,3.756334377,3.791817446,3.726371379,3.526173938,3.663817783,3.642435102,35-49_female
3.829609641,3.663074189,3.695492655,3.495028297,3.84416338,3.762139705,3.73560597,3.708288052,4.026872694,4.150736186,35-49_female
4.316678835,4.284192175,4.197016109,3.819026552,4.498103953,4.397522369,4.171905827,4.095742187,4.057649857,3.81334888,35-49_male
4.750208852,4.631016289,4.5314374,4.141534953,4.734381645,4.567811613,4.553335387,4.506903321,4.586446949,4.572545516,18-24_female
4.413327592,4.248589137,4.177567026,3.725289165,4.439275241,4.445506053,4.341271852,4.119374319,4.276912115,4.193666625,50-64_female
4.338240074,4.339415272,4.332642621,3.65862338,4.437583318,4.390879772,4.293210423,4.173807037,4.402247138,4.198162575,18-24_male
5.626086663,5.470099976,5.310503137,4.983289118,5.660906343,5.468723451,5.347501302,5.334453114,5.409696208,5.123867781,18-24_male
4.372765881,4.33412957,4.426006692,4.115678014,4.423298064,4.246429031,4.368322255,4.24100868,4.384960092,4.580286218,65-xx_female
3.896181858,3.899461166,3.941214638,3.706183133,4.056851498,3.861252615,3.872987539,3.959552892,4.109523979,4.044802659,25-34_female
4.745128415,4.651892077,4.457990277,4.004770362,4.762384051,4.858887529,4.73396973,4.44146665,4.407637527,4.563565078,25-34_female
3.385041,3.139778791,3.078052024,2.696984234,3.157021993,2.855773739,3.034812455,3.204822319,3.115737615,3.239329818,25-34_male
4.778960722,4.480056965,4.551547106,4.150704089,4.544137074,4.51180229,4.560436984,4.405480799,4.842536969,4.79208836,35-49_female
4.191359902,4.075314483,3.947548104,3.498646511,4.065179204,4.087576781,4.037596214,3.699825797,3.827398345,4.091728295,18-24_male
3.790195606,3.642905066,3.359227867,3.490896671,3.630850014,3.48791991,3.411063334,3.606022798,3.651428867,3.579027862,50-64_female
