@relation test
@attribute a0 real[2.480373889,8.932136417]
@attribute a1 real[2.369157633,8.926647256]
@attribute a2 real[2.434700777,8.870372827]
@attribute a3 real[2.040924748,8.651024408]
@attribute a4 real[2.242604259,8.974890896]
@attribute a5 real[2.067209279,8.895511092]
@attribute a6 real[2.197908446,8.934677462]
@attribute a7 real[2.304904958,8.904683608]
@attribute a8 real[2.046851063,9.191704194]
@attribute a9 real[2.016828165,9.225141122]
@attribute a10{25-34_male,35-49_female,50-64_male,35-49_male,50-64_female,18-24_male,18-24_female,25-34_female,65-xx_female}
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9
@outputs a10
@data
3.654033387,3.735852829,3.56029916,3.30835731,3.725883403,3.559724815,3.536862453,3.419740705,3.638044381,3.39721264,25-34_female
5.008286119,5.132677109,5.062834157,4.486066046,5.071369178,5.210456243,5.054556022,4.919883487,4.95613098,5.103195092,50-64_male
3.670071958,3.835568565,3.726992198,3.313593687,3.84601399,3.704795973,3.648223788,3.563429334,3.372178301,3.297757782,35-49_male
4.302529879,4.306293876,4.261327854,3.998179258,4.40545429,4.360209787,4.262499222,4.275174823,4.278026715,4.540990058,18-24_male
5.81688762,5.809961228,5.511838174,5.149262384,5.796213091,5.741400548,5.715066401,5.622365155,5.922874246,5.798403098,50-64_male
4.895866932,4.881911516,4.904254258,4.287890448,4.867333978,4.850941185,4.792851148,4.697755132,4.728814768,4.610627755,50-64_female
3.755929765,3.647875343,3.417694235,3.444663438,3.763534372,3.752357765,3.500296337,3.396118397,3.395719054,3.540154349,50-64_male
6.241405409,6.08244406,5.904889337,5.546427776,6.008988548,5.927626891,5.864595618,5.880175081,5.935849427,5.781915863,25-34_male
3.143965662,3.165926827,3.069130223,2.556106096,3.339945781,3.022842817,3.105720313,3.101573817,3.204875166,3.138141338,25-34_female
4.5823436,4.611833598,4.559207156,4.004850713,4.594055512,4.534339415,4.562884734,4.357408693,4.422276567,4.383785614,18-24_male
5.108635008,4.976444678,4.809290493,4.568879922,4.733041972,4.888442448,4.798857944,4.83408375,5.165570996,5.369169042,25-34_male
3.672066219,3.555484375,3.832809571,3.703040177,3.282489346,3.503690777,3.418175097,3.711878186,4.138670788,3.990110677,18-24_female
3.981450684,3.984388648,3.979489942,3.543671776,4.265183028,4.175646947,3.96989771,3.741231722,3.836364046,3.450410313,50-64_female
2.541984366,2.461805143,2.565334601,2.040924748,2.379321622,2.260615298,2.289530884,2.304904958,2.156923373,2.159468893,50-64_female
3.251036674,3.208610674,3.247986857,2.940495108,3.53855809,3.343507617,3.137452746,3.05482869,2.941577146,2.701032092,50-64_female
5.351681795,5.296909486,5.173187314,4.739641461,5.408449316,5.400722948,5.200240206,4.988180479,5.228027332,5.078454178,25-34_male
5.82340066,5.883994873,5.649681706,5.29579538,5.872997816,5.737374292,5.734548749,5.689232217,5.95532157,5.864124867,50-64_female
5.462066957,5.218616195,4.958294233,4.854755971,5.085571889,5.301879172,5.227269737,4.92614183,5.171535587,5.606374969,50-64_male
3.091516548,3.048926332,2.965698226,2.610471609,3.221545759,2.93806177,3.012025193,2.922358332,2.637695664,2.647076484,35-49_female
4.075901756,3.989330301,3.723626471,3.482073539,3.847766595,3.832550631,3.842752945,3.85868932,4.066754537,4.210347069,25-34_female
4.646343713,4.611020459,4.56838236,4.324946678,4.784375923,4.609081383,4.684151309,4.513310146,4.907678989,5.043301535,18-24_female
3.899000254,3.781198003,3.665527757,3.274744265,3.70746612,3.836058176,3.609935649,3.755962537,3.973399222,3.949251301,35-49_male
5.911213053,5.800856302,5.676624201,5.171200199,5.682453743,5.884981763,5.716912662,5.655108871,5.90730061,6.25296063,25-34_male
4.994938054,4.946964078,5.026908034,4.738981615,5.529328812,5.265828874,5.245198073,4.885917087,4.798127071,4.508086594,35-49_male
4.72463553,4.47340461,4.478925001,4.119811932,4.408427912,4.25867856,4.391143491,4.197087517,4.576886383,4.869974548,18-24_male
7.44630587,7.430241793,7.340520697,7.168420846,7.462124315,7.421999947,7.397531471,7.36386662,7.5721944,7.571280925,50-64_male
4.660456752,4.645750192,4.597151533,4.400443603,5.035697194,4.94335127,4.820111502,4.515257773,4.505890099,4.215826064,35-49_female
5.221843093,5.152254971,5.142244756,4.673838393,5.357230323,5.322762127,5.219129247,4.826262932,4.979460167,4.929385982,18-24_female
5.005629737,5.012437332,4.991931881,4.566119799,5.309127536,5.06929181,4.974616413,4.788414076,4.882597345,4.721979181,25-34_male
4.709831907,4.63853043,4.568150187,4.272319087,4.508674405,4.533233749,4.679705509,4.478975724,4.839160013,4.92005511,25-34_female
2.678657753,2.527232137,2.553349478,2.0953858,2.498951418,2.457200549,2.413736484,2.482988604,2.453332423,2.671052909,25-34_male
3.791613806,3.666833832,3.567201846,3.21804793,3.802173399,3.487526947,3.498093781,3.731582408,3.571475164,3.509969236,18-24_female
5.253805558,5.089157825,5.104895752,4.942615059,5.580909873,5.486313402,5.259014832,4.898157091,4.713801043,4.365876724,25-34_female
4.199970457,4.192529588,4.1687521,3.635633528,4.363279043,4.249247772,4.179512669,4.01657665,4.023551682,3.956883552,18-24_male
5.301169978,5.354327618,5.158823011,4.745129727,5.381378895,5.457922262,5.238791442,4.885302941,5.091887048,5.017170384,50-64_female
4.719388785,4.454696885,4.538832003,4.366532884,5.070576147,4.851620514,4.692069911,4.354052789,4.167801273,3.504524054,18-24_male
3.584183083,3.497867236,3.533525756,3.203014652,3.427776414,3.590568759,3.496861842,3.571097009,3.993769553,4.299706189,25-34_female
4.029753911,4.191308568,3.945132235,3.490866344,4.166785704,4.133881558,4.056780859,3.95973329,4.109622191,3.960356486,25-34_female
4.258791671,4.284544395,4.171206831,4.027233348,4.111073503,4.058011405,4.101884762,4.242937502,4.518611105,4.582924915,18-24_male
5.175405696,5.303417586,4.903457927,4.748220829,5.152831725,5.299275214,5.015872241,5.009183477,5.117896888,5.369953768,50-64_male
4.24452206,4.268426533,4.099922765,3.959789684,4.230724558,4.262899981,4.126879357,4.054992304,4.05017709,4.152285157,35-49_female
4.965391794,4.876963546,4.743474414,4.171463203,4.921938083,4.972062789,4.901628604,4.904062804,5.49950288,5.373212209,25-34_female
3.563459359,3.508391348,3.47554669,3.056570588,3.712883991,3.416207653,3.395518796,3.327515794,3.255864473,3.091284235,35-49_male
3.243356733,3.142655372,2.991909296,2.57530666,3.29106063,3.05799956,3.067704494,3.080204446,2.826557398,3.054524436,25-34_male
5.405721374,5.364108116,5.342950449,4.94915998,5.529172174,5.316972201,5.298528104,5.22612412,5.240806466,4.967327566,18-24_male
4.732401335,4.532854487,4.56005161,4.473982651,5.032941303,4.839819889,4.639389723,4.380191773,4.032346915,3.75062757,35-49_female
4.214594263,4.121973844,4.015530938,3.606040646,4.249301335,4.093172941,4.025428231,3.95081965,3.988965268,4.041812397,25-34_female
4.33209242,4.370005339,4.498636878,3.919396851,4.329215434,4.202838767,4.26204169,4.332398662,4.595566851,4.441710703,25-34_female
8.932136417,8.926647256,8.870372827,8.651024408,8.974890896,8.895511092,8.934677462,8.904683608,9.191704194,9.225141122,25-34_male
4.103248326,4.037139505,3.972982634,3.482766345,3.951988496,3.803957998,3.827590763,3.900364153,3.855720823,3.713076217,18-24_female
3.452352082,3.534359381,3.52068023,3.050306207,3.559777255,3.355637133,3.401577812,3.562379511,3.084242253,2.900658824,18-24_female
5.044398226,4.822102231,4.667042276,4.254835169,4.881549911,4.676340311,4.670810343,4.811805962,4.624368803,4.626371165,18-24_female
4.381547076,4.245688505,3.9374261,3.888514048,4.296941356,4.407151173,4.245237774,3.917530376,4.232867015,4.573595527,50-64_male
5.430233249,5.576755546,5.46407694,4.778489446,5.573816549,5.596003264,5.437934516,5.349888314,5.438787227,5.47792744,35-49_female
5.072690241,5.101809979,5.022475598,4.798102381,5.559332159,5.334203487,5.22423762,4.981860294,4.94850001,4.458149143,35-49_female
3.471465459,3.483930508,3.436586928,3.009048531,3.657671752,3.3717424,3.343351677,3.356137606,3.211211997,3.001345406,35-49_female
5.301381556,5.314925902,5.435108584,4.663775498,5.631154082,5.394268908,5.322925751,5.115850713,4.993001387,4.732581175,35-49_male
3.832382485,3.829889392,3.77425851,3.390705458,3.872497761,3.722666626,3.799319328,3.636655108,3.94601858,4.163383744,25-34_male
4.100693336,4.060591194,3.762554659,3.513532137,4.221664748,4.259841969,3.921843757,3.781063895,3.685196762,3.800866062,50-64_male
5.044656953,4.820985372,4.595976121,4.204418773,4.659829974,4.837315723,4.73347061,4.575898747,4.793452066,5.050584802,50-64_female
3.225819706,3.060763246,3.02523871,2.901459648,3.054422333,3.061939576,3.178288239,3.030003154,3.489578747,3.57383797,50-64_female
5.504363141,5.472843436,5.308284045,4.653199113,5.48282598,5.606628104,5.44842968,5.436280725,5.704318872,5.703630344,50-64_male
7.108558534,7.114804872,7.057108588,6.84441551,7.167129625,7.057439113,7.127662045,7.073557812,7.4179315,7.447802424,18-24_male
5.803488333,5.607743559,5.590527041,5.606816213,5.840143709,5.560472299,5.637067688,5.732773582,6.01318677,5.930266888,35-49_female
6.215061692,6.159530748,6.09321621,5.917559236,6.129659431,6.022681062,6.090332916,6.149142233,6.407360102,6.513953002,25-34_female
7.211587489,7.0359892,7.09545004,6.685885049,7.226553763,7.178848563,7.135925241,7.087499528,7.577991131,7.440223874,50-64_female
6.540715275,6.595312377,6.468191525,6.111665188,6.472926987,6.381788149,6.434138958,6.358000853,6.671313072,6.424581177,50-64_female
7.293586202,7.418915338,7.373389851,7.153003864,7.568157628,7.487250472,7.456860524,7.364074906,7.50316253,7.556332588,25-34_male
5.705840606,5.700240299,5.746525851,5.048219728,6.040377504,5.701703721,5.717227975,5.52357113,5.552162088,5.432360377,18-24_female
4.072458986,3.962271253,3.949747524,3.581345193,4.134639455,4.053457725,3.983809525,3.829007587,3.999738727,4.222901503,50-64_male
4.133914201,4.15557687,4.022558713,3.613375299,4.44539477,4.213643888,4.253770072,4.012768762,4.264210669,4.230297172,50-64_female
2.945989848,2.813900797,2.87365251,2.423993538,2.670640884,2.767782877,2.545601307,2.790703245,2.475880328,2.545708932,50-64_male
4.270425003,4.186589847,4.172744071,3.695120339,4.385878571,4.17168134,4.228569235,3.988810883,3.971239741,4.038852265,35-49_male
3.36786597,3.356854965,3.567742085,3.082482286,3.383068215,3.410344774,3.31153635,3.236116155,3.189607972,2.963923881,25-34_female
4.178611223,4.226174335,4.042103705,3.652358358,4.33696638,4.358847005,4.148235948,3.816145941,3.91709784,3.941487196,25-34_male
5.844431524,5.926158241,5.887782749,5.164523284,6.240378942,6.02785021,5.919114919,5.77531207,5.84328742,5.794032294,18-24_female
5.09268843,5.089377075,5.063256248,4.969907528,4.856067205,4.997977633,4.859715405,4.88283413,4.883405972,5.146839566,18-24_female
5.610939992,5.54994818,5.362501498,5.009442731,5.666611639,5.770490738,5.556167409,5.233845421,5.522693584,5.299234279,25-34_male
